Questions;Answers;CorrectIndex
#Fragen ;;;;;
Was ist Wolfsmilch?;ein Cocktail/Milch von einem Wolf/eine Pflanze/Eselsmilch;2
Wen oder was bezeichnete man frueher als Backfisch?;ein junges Maedchen/eine Ohrfeige/eine Seejungfrau/ein Fischbroetchen;1
Wie gross ist ein neugeborenes Kaenguru?;40 cm/80 cm/2 cm/20 cm;3
Welche Farbe hat die Muetze der Videospiel-Figur "Super Mario" von Nintendo?;blau/schwarz/gelb/rot;3
Wer bewies waehrend der Fussball-WM 2010 hellseherische Faehigkeiten?;Zecke Zacharias/Krake Paul/Amoebe Fritz/Kakerlake Otto;1
Wie hiess im ersten Big Brother-Container die Katze?;Sternchen/Felix/Sternschnuppe/Schaetzchen;1
Wem gehoeren die Schwaene in England?;dem Premier/dem Volk/den Arbeitslosen/der Queen;3
Eine bekannte Klopapiersorte heisst ...?;Wie immer/Wow/Danke/Bitte;2
Wie viel kann Bambus pro Stunde maximal wachsen?;3 mm/4 cm/1 cm/8 mm;1
Wie flirten Frauen in Nordsibirien?;Sie bewerfen Maenner mit Feldschnecken/Sie bestreiten einen gefaehrlichen sportlichen 7-Kampf/Sie tanzen einmal im Jahr Salsa/Sie arbeiten kostenlos auf dem Acker des Angebeteten
Wie oft gewannt Finnland den Song Contest?;1 mal/2 mal/nie;0
In welches Meer muendet der Amazonas?;Atlantik/Indischer Ozean/Mittelmeer;0
#Folgende Zeile ist ungueltig:;;;;;
Wie heisst die Hauptstadt von Oesterreich?;Villach/Graz/Klagenfurt/Salzburg/Wien;4;;;
#Tests;;;;;
Wo studieren wir?;Graz/Kapfenberg/Wien/Linz;-1;;;
Wie viel Bundeslaender hat oesterreich;9;0;;;
Was ist Big Ben?;Ein Turm/Eine Glocke/Ein Schiff/Ein Auto;1
Wie heisst der Drache in der Nibelungensage?;Fafnir/Fuhur/Farfar;0
#Warum ist die Banane krumm?
Auf welchen Kontinent liegt die Simponswueste?;Afrika/Amerika/Australien;2
Mit welchem Wort endet die Bibel?;Gott/Amen/Jesus;1
Welcher britische Koenig liess seine Ehefrauen hinrichten?;Henry VIII/Henry IX/Henry IV;0
